GSR Conductance CAL (u Siemens)_002,GSR Conductance CAL (u Siemens)_001,GSR Conductance CAL (u Siemens)_004,GSR Conductance CAL (u Siemens)_003,GSR Conductance CAL (u Siemens)_005,GSR Conductance CAL (u Siemens)_006,GSR Conductance CAL (u Siemens)_007,GSR Conductance CAL (u Siemens)_008
-0.2308074964781569,-1.05561780999009,-0.6408110635961374,-1.3285793311564051,-2.4132599527378633,-0.47953104624968756,-0.9283682645647012,0.7476567919764929
-0.2308074964781569,-1.0568139032199857,-0.6408110635961374,-1.3296645881357836,-2.3983649051943225,-0.5048009838636109,-0.9175700649783939,0.7476567919764929
-0.23738751995244897,-1.0544217167601935,-0.6231314705170586,-1.3296645881357836,-2.405811429164271,-0.47953104624968756,-0.9175700649783939,0.7476567919764929
-0.2308074964781569,-1.0544217167601935,-0.6408110635961374,-1.3285793311564051,-2.39091638162073,-0.47953104624968756,-0.9175700649783939,0.7476567919764929
-0.2308074964781569,-1.05561780999009,-0.6231314705170586,-1.3296645881357836,-2.39091638162073,-0.47953104624968756,-0.9175700649783939,
-0.23738751995244897,-1.0568139032199857,-0.6408110635961374,-1.3307495537710068,-2.39091638162073,-0.5048009838636109,-0.9067701081586338,0.7476567919764929
-0.23738751995244897,-1.0544217167601935,-0.6408110635961374,-1.3296645881357836,-2.3834698576507813,-0.5048009838636109,-0.9175700649783939,
-0.23738751995244897,-1.05561780999009,-0.6408110635961374,-1.3296645881357836,-2.3834698576507813,-0.47953104624968756,-0.8959719085723199,
-0.23738751995244897,-1.05561780999009,-0.6408110635961374,-1.3318348107503841,-2.368574810107244,-0.47953104624968756,-0.9175700649783939,
-0.23738751995244897,-1.05561780999009,-0.6231314705170586,-1.3307495537710068,-2.368574810107244,-0.47953104624968756,-0.9067701081586338,
-0.24396692887332047,-1.0544217167601935,-0.6408110635961374,-1.3329197763856075,-2.368574810107244,-0.47953104624968756,-0.9067701081586338,
-0.23738751995244897,-1.0544217167601935,-0.6054502260655706,-1.3296645881357836,-2.3611262865336475,-0.47953104624968756,-0.9175700649783939,
-0.23738751995244897,-1.05561780999009,-0.6231314705170586,-1.3318348107503841,-2.3611262865336475,-0.47953104624968756,-0.9067701081586338,
-0.24396692887332047,-1.05561780999009,-0.6231314705170586,-1.3307495537710068,-2.3462312389901068,-0.47953104624968756,-0.9067701081586338,
-0.24396692887332047,-1.0544217167601935,-0.6231314705170586,-1.3329197763856075,-2.3462312389901068,-0.47953104624968756,-0.9067701081586338,
-0.23738751995244897,-1.05561780999009,-0.6231314705170586,-1.3307495537710068,-2.3462312389901068,-0.47953104624968756,-0.9067701081586338,
