GSR Conductance CAL (u Siemens)_001,GSR Conductance CAL (u Siemens)_006,GSR Conductance CAL (u Siemens)_002,GSR Conductance CAL (u Siemens)_003
,-0.2239739972632754,-2.381306014194503,-1.779483413243217
0.8641192982066498,0.0820929262179205,-2.381306014194503,-1.7833620643240649
,-0.18571563182813172,-2.3817208051371166,-1.7833620643240649
0.8641192982066498,0.005576195347615722,-2.3817208051371166,
,-0.07094053552267165,-2.380891223251889,
0.8692275095018517,-0.07094053552267165,-2.381306014194503,
,0.005576195347615722,-2.3817208051371166,
,-0.10919890095782694,-2.381306014194503,
0.8641192982066498,0.0820929262179205,-2.380891223251889,
,-0.14745726639297063,-2.380891223251889,
0.8692275095018517,0.12035129165307577,-2.380891223251889,
,-0.18571563182813172,-2.380891223251889,
0.8692275095018517,0.15860965708821947,-2.380891223251889,
,-0.18571563182813172,-2.380891223251889,-1.7833620643240649
0.8692275095018517,0.19686802252335736,-2.380891223251889,
,-0.18571563182813172,-2.381306014194503,-1.779483413243217
0.8692275095018517,0.15860965708821947,-2.380476432309275,
,-0.18571563182813172,-2.380891223251889,-1.779483413243217
0.8692275095018517,0.12035129165307577,-2.380891223251889,-1.7833620643240649
,-0.10919890095782694,-2.380891223251889,-1.779483413243217
0.8641192982066498,0.005576195347615722,-2.380061776345816,-1.7833620643240649
,-0.07094053552267165,-2.380476432309275,-1.7833620643240649
0.8590094240822502,-0.07094053552267165,-2.380476432309275,-1.7833620643240649
,0.04383456078276521,-2.380891223251889,-1.779483413243217
0.8641192982066498,-0.14745726639297063,-2.380061776345816,-1.7833620643240649
,0.005576195347615722,-2.380476432309275,-1.7833620643240649
0.8692275095018517,-0.18571563182813172,-2.380061776345816,-1.7833620643240649
,0.0820929262179205,-2.380476432309275,-1.779483413243217
0.8590094240822502,-0.2622323626984307,-2.380061776345816,-1.7833620643240649
,0.0820929262179205,-2.380476432309275,
0.8641192982066498,-0.2622323626984307,-2.380061776345816,
,0.12035129165307577,-2.3796469854032023,
0.8590094240822502,-0.2622323626984307,-2.3796469854032023,
,0.04383456078276521,-2.3796469854032023,
0.8590094240822502,-0.2239739972632754,-2.3796469854032023,
,0.005576195347615722,-2.3796469854032023,
0.8590094240822502,-0.14745726639297063,-2.3796469854032023,
0.8590094240822502,-0.10919890095782694,-2.3796469854032023,
,-0.07094053552267165,-2.3796469854032023,-1.779483413243217
,-0.18571563182813172,-2.3796469854032023,-1.779483413243217
0.8538995499578508,-0.03268217008753956,-2.3788174035179743,-1.779483413243217
0.8538995499578508,-0.2239739972632754,-2.3792321944605885,-1.7833620643240649
,0.005576195347615722,-2.3792321944605885,-1.779483413243217
0.8538995499578508,-0.2622323626984307,-2.3788174035179743,-1.779483413243217
,0.005576195347615722,-2.3792321944605885,-1.779483413243217
0.8538995499578508,-0.3004907281335686,-2.3788174035179743,-1.779483413243217
,0.04383456078276521,-2.3788174035179743,-1.779483413243217
0.8487896758334512,-0.3004907281335686,-2.3788174035179743,-1.7756051244161355
,0.04383456078276521,-2.3788174035179743,-1.779483413243217
0.8436814645382493,-0.3004907281335686,-2.3788174035179743,-1.779483413243217
,0.005576195347615722,-2.3788174035179743,-1.779483413243217
0.8436814645382493,-0.2239739972632754,-2.3792321944605885,
,-0.07094053552267165,-2.3788174035179743,
0.8436814645382493,-0.14745726639297063,-2.3788174035179743,
,-0.14745726639297063,-2.3788174035179743,
0.8436814645382493,-0.03268217008753956,-2.3792321944605885,
,-0.2239739972632754,-2.3784027475545155,
0.8436814645382493,0.005576195347615722,-2.3788174035179743,
,-0.2239739972632754,-2.3788174035179743,
0.8334617162894503,0.04383456078276521,-2.3788174035179743,
,-0.2622323626984307,-2.3784027475545155,-1.779483413243217
0.8385715904138499,0.0820929262179205,-2.3788174035179743,-1.779483413243217
,-0.2622323626984307,-2.3784027475545155,-1.779483413243217
0.8385715904138499,0.0820929262179205,-2.3788174035179743,-1.7756051244161355
,-0.2622323626984307,-2.3775731656692876,-1.779483413243217
0.8334617162894503,0.0820929262179205,-2.3779879566119018,-1.779483413243217
,-0.18571563182813172,-2.3779879566119018,-1.7756051244161355
