timestamp,confidence_006,norm_pos_x_006,norm_pos_y_006,gaze_point_3d_x_006,gaze_point_3d_y_006,gaze_point_3d_z_006,eye_center0_3d_x_006,eye_center0_3d_y_006,eye_center0_3d_z_006,eye_center1_3d_x_006,eye_center1_3d_y_006,eye_center1_3d_z_006,gaze_normal0_x_006,gaze_normal0_y_006,gaze_normal0_z_006,gaze_normal1_x_006,gaze_normal1_y_006,gaze_normal1_z_006,diameter0_2d_006,diameter1_2d_006,diameter0_3d_006,diameter1_3d_006,Timestamp RAW (no units)_006,Timestamp CAL (mSecs)_006,System Timestamp CAL (mSecs)_006,Wide Range Accelerometer X RAW (no units)_006,Wide Range Accelerometer X CAL (m/(sec ^2))_006,Wide Range Accelerometer Y RAW (no units)_006,Wide Range Accelerometer Y CAL (m/(sec ^2))_006,Wide Range Accelerometer Z RAW (no units)_006,Wide Range Accelerometer Z CAL (m/(sec ^2))_006,VSenseBatt RAW (no units)_006,VSenseBatt CAL (m Volts)_006,Internal ADC A13 RAW (no units)_006,Internal ADC A13 CAL (m Volts)_006,GSR RAW (no units)_006,GSR CAL (kOhms)_006,GSR Conductance CAL (u Siemens)_006
932381.6008985,0.0,0.5902594770756103,-0.44602794662677314,53.22949168865358,280.3517899717177,207.16756234170882,nan,nan,nan,-1.3963343535131316,-161.05690299295992,-21.24956684177849,nan,nan,nan,0.1092516520843334,0.8828173859293552,0.45683425836697455,nan,0.0,nan,0.24194863812511525,2765272.0,2495330048.0,1714317164544.0,-624.0,0.38258737325668335,304.0,0.18638871610164642,-15616.0,9.574494361877441,2714.0,3952.697509765625,2286.0,1674.7252197265625,52289.0,917.600341796875,1.0897990465164185
932381.6677588,0.0,0.5902594770756103,-0.44602794662677314,53.22949168865358,280.3517899717177,207.16756234170882,nan,nan,nan,-1.3963343535131316,-161.05690299295992,-21.24956684177849,nan,nan,nan,0.1092516520843334,0.8828173859293552,0.45683425836697455,nan,0.0,nan,0.24194863812511525,2765592.0,2495330048.0,1714317164544.0,-624.0,0.38258737325668335,256.0,0.1569589227437973,-15696.0,9.623543739318848,2698.0,3929.394775390625,2261.0,1656.4102783203125,52291.0,916.853271484375,1.0906870365142822
932381.7352326,0.0,0.5902594770756103,-0.44602794662677314,53.22949168865358,280.3517899717177,207.16756234170882,nan,nan,nan,-1.3963343535131316,-161.05690299295992,-21.24956684177849,nan,nan,nan,0.1092516520843334,0.8828173859293552,0.45683425836697455,nan,0.0,nan,0.24194863812511525,2765912.0,2495330048.0,1714317164544.0,-624.0,0.38258737325668335,336.0,0.20600858330726624,-15632.0,9.584303855895996,2704.0,3938.13330078125,2257.0,1653.4798583984375,52289.0,917.600341796875,1.0897990465164185
932381.8023112,0.0,0.5902594770756103,-0.44602794662677314,53.22949168865358,280.3517899717177,207.16756234170882,nan,nan,nan,-1.3963343535131316,-161.05690299295992,-21.24956684177849,nan,nan,nan,0.1092516520843334,0.8828173859293552,0.45683425836697455,nan,0.0,nan,0.24194863812511525,2766232.0,2495330048.0,1714317164544.0,-624.0,0.38258737325668335,288.0,0.17657878994941711,-15616.0,9.574494361877441,2697.0,3927.9384765625,2244.0,1643.9560546875,52289.0,917.600341796875,1.0897990465164185
932381.8694414,1.0,0.37504139951030535,0.2618112815829925,-69.11121178110892,60.6580646124757,347.87090404003703,229.89396046436596,-178.55481227368472,26.35402034292764,nan,nan,nan,-0.5980103444909497,0.4784257537723209,0.6430337673942188,nan,nan,nan,66.1773946325856,nan,3.5231349542082246,nan,2766552.0,2495330048.0,1714317164544.0,-624.0,0.38258737325668335,320.0,0.19619865715503693,-15648.0,9.594114303588867,2705.0,3939.58984375,2258.0,1654.21240234375,52290.0,917.2266235351562,1.0902431011199951
932381.9372459,0.0,0.5902594770756103,-0.44602794662677314,53.22949168865358,280.3517899717177,207.16756234170882,nan,nan,nan,-1.3963343535131316,-161.05690299295992,-21.24956684177849,nan,nan,nan,0.1092516520843334,0.8828173859293552,0.45683425836697455,nan,0.0,nan,0.24194863812511525,2766872.0,2495330048.0,1714317164544.0,-576.0,0.35315757989883423,240.0,0.1471489816904068,-15664.0,9.603923797607422,2710.0,3946.871826171875,2271.0,1663.7362060546875,52288.0,917.9743041992188,1.0893551111221313
932382.0043496,1.0,0.40525483923847394,0.2327656155491199,-52.48489370985729,71.2667509685939,354.7613425122679,229.89396046436596,-178.55481227368472,26.35402034292764,nan,nan,nan,-0.5647577083484465,0.49964312648455733,0.6568146443386805,nan,nan,nan,66.8248287482414,nan,3.53008262432154,nan,2767192.0,2495330048.0,1714317164544.0,-624.0,0.38258737325668335,320.0,0.19619865715503693,-15696.0,9.623543739318848,2705.0,3939.58984375,2271.0,1663.7362060546875,52289.0,917.600341796875,1.0897990465164185
932382.0713978,1.0,0.4133940276585621,0.21455000900180798,-47.698331184697025,77.29146207227507,354.2033813615416,229.89396046436596,-178.55481227368472,26.35402034292764,nan,nan,nan,-0.5551845832981259,0.5116925486919196,0.6556987220372279,nan,nan,nan,67.00224867292417,nan,3.5232390770932884,nan,2767512.0,2495330048.0,1714317164544.0,-640.0,0.39239731431007385,240.0,0.1471489816904068,-15680.0,9.613734245300293,2707.0,3942.502685546875,2276.0,1667.3992919921875,52289.0,917.600341796875,1.0897990465164185
932382.1382497,0.0,0.5902462102687454,-0.44604108328727365,53.21972841449816,280.3434278727061,207.15478685838374,nan,nan,nan,-1.3983344836707923,-161.06825606925716,-21.25841872476958,nan,nan,nan,0.10923612579633792,0.8828233678839267,0.4568264111663067,nan,0.0,nan,0.24139357316791976,2767832.0,2495330048.0,1714317164544.0,-608.0,0.37277743220329285,224.0,0.1373390555381775,-15696.0,9.623543739318848,2699.0,3930.851318359375,2261.0,1656.4102783203125,52290.0,917.2266235351562,1.0902431011199951
932382.2052699,0.0,0.5902462102687454,-0.44604108328727365,53.21972841449816,280.3434278727061,207.15478685838374,nan,nan,nan,-1.3983344836707923,-161.06825606925716,-21.25841872476958,nan,nan,nan,0.10923612579633792,0.8828233678839267,0.4568264111663067,nan,0.0,nan,0.24139357316791976,2768152.0,2495330304.0,1714317164544.0,-656.0,0.40220722556114197,240.0,0.1471489816904068,-15648.0,9.594114303588867,2701.0,3933.76416015625,2255.0,1652.0146484375,52290.0,917.2266235351562,1.0902431011199951
