timestamp,Timestamp RAW (no units)_001,Timestamp CAL (mSecs)_001,System Timestamp CAL (mSecs)_001,Wide Range Accelerometer X RAW (no units)_001,Wide Range Accelerometer X CAL (m/(sec ^2))_001,Wide Range Accelerometer Y RAW (no units)_001,Wide Range Accelerometer Y CAL (m/(sec ^2))_001,Wide Range Accelerometer Z RAW (no units)_001,Wide Range Accelerometer Z CAL (m/(sec ^2))_001,VSenseBatt RAW (no units)_001,VSenseBatt CAL (m Volts)_001,Internal ADC A13 RAW (no units)_001,Internal ADC A13 CAL (m Volts)_001,GSR RAW (no units)_001,GSR CAL (kOhms)_001,GSR Conductance CAL (u Siemens)_001,confidence_006,norm_pos_x_006,norm_pos_y_006,gaze_point_3d_x_006,gaze_point_3d_y_006,gaze_point_3d_z_006,eye_center0_3d_x_006,eye_center0_3d_y_006,eye_center0_3d_z_006,eye_center1_3d_x_006,eye_center1_3d_y_006,eye_center1_3d_z_006,gaze_normal0_x_006,gaze_normal0_y_006,gaze_normal0_z_006,gaze_normal1_x_006,gaze_normal1_y_006,gaze_normal1_z_006,diameter0_2d_006,diameter1_2d_006,diameter0_3d_006,diameter1_3d_006,confidence_001,norm_pos_x_001,norm_pos_y_001,gaze_point_3d_x_001,gaze_point_3d_y_001,gaze_point_3d_z_001,eye_center0_3d_x_001,eye_center0_3d_y_001,eye_center0_3d_z_001,eye_center1_3d_x_001,eye_center1_3d_y_001,eye_center1_3d_z_001,gaze_normal0_x_001,gaze_normal0_y_001,gaze_normal0_z_001,gaze_normal1_x_001,gaze_normal1_y_001,gaze_normal1_z_001,diameter0_2d_001,diameter1_2d_001,diameter0_3d_001,diameter1_3d_001,Timestamp RAW (no units)_006,Timestamp CAL (mSecs)_006,System Timestamp CAL (mSecs)_006,Wide Range Accelerometer X RAW (no units)_006,Wide Range Accelerometer X CAL (m/(sec ^2))_006,Wide Range Accelerometer Y RAW (no units)_006,Wide Range Accelerometer Y CAL (m/(sec ^2))_006,Wide Range Accelerometer Z RAW (no units)_006,Wide Range Accelerometer Z CAL (m/(sec ^2))_006,VSenseBatt RAW (no units)_006,VSenseBatt CAL (m Volts)_006,Internal ADC A13 RAW (no units)_006,Internal ADC A13 CAL (m Volts)_006,GSR RAW (no units)_006,GSR CAL (kOhms)_006,GSR Conductance CAL (u Siemens)_006
1104998.7001696,12551702.0,812148.4375,1711994961920.0,-528.0,0.3237277865409851,160.0,0.09809932857751846,-15632.0,9.584303855895996,2755.0,4012.41015625,2487.0,1821.97802734375,35443.0,342.5345153808594,2.9194138050079346,0.9805930256843567,0.4348709442202462,0.23712725477918362,-49.08075017892016,97.70303687904257,499.5517758363984,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.1221173200577779,0.17663253403460136,0.9766720575824935,-0.011951012415542063,0.14213978645322978,0.9897744462296821,29.185705567467153,37.1730987370522,3.749183765111761,2.6680717592871126,1.0,0.5965702880705238,0.3236783527949241,66.03050110565641,45.337684371756026,394.24670301706396,nan,nan,nan,385.7144841850535,48.6747568399948,9.810733173146552,nan,nan,nan,-0.6393679661587942,-0.006674144936477549,0.7688719396878348,nan,46.700011293634866,nan,2.0853664402466343,13382410.0,805492.1875,1711994961920.0,-176.0,0.10790925472974777,-192.0,-0.11771918833255768,-17600.0,10.790925979614258,2723.0,3965.80517578125,2362.0,1730.4029541015625,52564.0,825.151123046875,1.2118991613388062
1104998.7678134,12552022.0,812158.1875,1711994961920.0,-608.0,0.37277743220329285,112.0,0.06866952776908875,-15632.0,9.584303855895996,2764.0,4025.51806640625,2503.0,1833.6995849609375,35443.0,342.5345153808594,2.9194138050079346,0.9723487198352814,0.433064062530526,0.23805778239299846,-57.14278280614843,109.92157018660849,564.4473014899359,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.1221173200577779,0.17663253403460136,0.9766720575824935,-0.024248643523525192,0.14768798714749312,0.9887366999052836,29.185705567467153,37.209054660004874,3.749183765111761,2.667364910866513,0.08804160274585222,0.8297501192795244,0.4882431716875918,174.24246500825,-11.766763279157715,275.03215496413776,343.6548344616185,-206.82178125805842,-153.04843211900263,nan,nan,nan,-0.3388247389067371,0.39011003595780147,0.8561611741662807,nan,nan,nan,16.26585796847876,nan,0.9386894675442372,nan,13382666.0,805500.0,1711994961920.0,-160.0,0.09809932857751846,-224.0,-0.1373390555381775,-17616.0,10.800735473632812,2696.0,3926.48193359375,2255.0,1652.0146484375,52554.0,828.185302734375,1.2074592113494873
1104998.8348667,12552342.0,812168.0,1711994961920.0,-544.0,0.3335376977920532,128.0,0.07847946137189865,-15664.0,9.603923797607422,2749.0,4003.671875,2477.0,1814.6519775390625,35444.0,342.3626708984375,2.9208791255950928,0.963095635175705,0.42871834890170674,0.2373714175937165,-56.19472664572851,101.29091140847251,518.0162206293423,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.13103737602626775,0.17299988131659083,0.9761660960864169,-0.024248643523525192,0.14768798714749312,0.9887366999052836,29.031803851613404,37.209054660004874,3.7310980726594885,2.667364910866513,1.0,0.596559152108029,0.3230995893431543,66.02659950449635,45.55086982377769,394.2452499876238,nan,nan,nan,385.7144841850535,48.6747568399948,9.810733173146552,nan,nan,nan,-0.6393757693611143,-0.0062477740324341806,0.7688690336289545,nan,46.96753779591763,nan,2.096672033133431,13382922.0,805507.8125,1711994961920.0,-176.0,0.10790925472974777,-192.0,-0.11771918833255768,-17600.0,10.790925979614258,2706.0,3941.046142578125,2299.0,1684.2490234375,52557.0,827.272705078125,1.2087912559509277
1104998.9025569,12552662.0,812177.75,1711994961920.0,-560.0,0.3433476388454437,128.0,0.07847946137189865,-15648.0,9.594114303588867,2764.0,4025.51806640625,2495.0,1827.8388671875,35443.0,342.5345153808594,2.9194138050079346,0.953252762556076,0.428030713742429,0.23761317081124245,-59.577991305000694,106.15704587190103,543.4857795643077,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.13103737602626775,0.17299988131659083,0.9761660960864169,-0.02904506094122611,0.15008214972968226,0.9882467974992066,29.031803851613404,37.36105474405426,3.7310980726594885,2.6769594277452375,0.0,0.25081640017441215,1.9059137174142606,-55.398044250964574,-185.43125042151965,38.83117407263303,343.6548344616185,-206.82178125805842,-153.04843211900263,nan,nan,nan,-0.5765135804213078,0.7845060633591561,0.22843451609273918,nan,nan,nan,0.0,nan,0.004482423009290137,nan,13383178.0,805515.625,1711994961920.0,-208.0,0.12752912938594818,-240.0,-0.1471489816904068,-17520.0,10.741876602172852,2715.0,3954.15380859375,2288.0,1676.1904296875,52560.0,826.3621215820312,1.2101231813430786
1104998.9699494,12552982.0,812187.5,1711994961920.0,-608.0,0.37277743220329285,208.0,0.12752912938594818,-15616.0,9.574494361877441,2755.0,4012.41015625,2494.0,1827.106201171875,35444.0,342.3626708984375,2.9208791255950928,0.9344451725482941,0.428779001586458,0.2381015130830706,-59.816914334807514,107.54548465675774,551.9878952660656,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.12952949565166635,0.17300270822772051,0.9763668228192205,-0.02904506094122611,0.15008214972968226,0.9882467974992066,28.950521904840823,37.36105474405426,3.720048884349888,2.6769594277452375,0.9860767126083374,0.5960932971374227,0.31926807243819666,65.69833248408852,46.92805905040002,393.98076284404203,nan,nan,nan,385.7144841850535,48.6747568399948,9.810733173146552,nan,nan,nan,-0.6400323034019301,-0.0034933955791895763,0.7683400593417911,nan,46.64462523146304,nan,2.083141367130499,13383434.0,805523.4375,1711994961920.0,-144.0,0.08828939497470856,-192.0,-0.11771918833255768,-17504.0,10.73206615447998,2724.0,3967.261474609375,2334.0,1709.89013671875,52551.0,829.0999145507812,1.2061271667480469
1104999.0375268,12553302.0,812197.25,1711994961920.0,-560.0,0.3433476388454437,144.0,0.08828939497470856,-15520.0,9.515634536743164,2755.0,4012.41015625,2488.0,1822.7105712890625,35444.0,342.3626708984375,2.9208791255950928,0.9525323510169983,0.42900532766536353,0.23704924056425702,-58.94425102920036,106.8753115734833,545.737683604846,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.12952949565166635,0.17300270822772051,0.9763668228192205,-0.027742153733597646,0.15129431955059236,0.9880993886132836,28.950521904840823,37.37399852142238,3.720048884349888,2.6786409253682586,0.2056359242839719,0.8701339680725539,0.49541129738073797,217.78724106554296,-15.473940252935392,291.4100616409417,343.6548344616185,-206.82178125805842,-153.04843211900263,nan,nan,nan,-0.2517351867921512,0.3826956820102461,0.8889169875198887,nan,nan,nan,9.576449147377641,nan,0.5592614638036375,nan,13383690.0,805531.25,1711994961920.0,-160.0,0.09809932857751846,-208.0,-0.12752912938594818,-17536.0,10.751686096191406,2719.0,3959.9794921875,2336.0,1711.3553466796875,52566.0,824.5469360351562,1.2127872705459595
1104999.1046318,12553622.0,812207.0,1711994961920.0,-576.0,0.35315757989883423,160.0,0.09809932857751846,-15632.0,9.584303855895996,2765.0,4026.974365234375,2510.0,1838.827880859375,35444.0,342.3626708984375,2.9208791255950928,0.9945344030857086,0.42959740828883397,0.23819263180571937,-59.18551519180083,107.70450931454755,553.126625418312,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.12838800678591145,0.1717325903894618,0.9767417453511782,-0.027742153733597646,0.15129431955059236,0.9880993886132836,28.935764030771278,37.37399852142238,3.7179007159006137,2.6786409253682586,1.0,0.5966512924549334,0.3205175391579652,66.11860358589479,46.51460391967625,394.32836195420657,nan,nan,nan,385.7144841850535,48.6747568399948,9.810733173146552,nan,nan,nan,-0.6391917611983174,-0.0043203058406371285,0.7690352575621201,nan,46.92156854333929,nan,2.095135386561865,13383946.0,805539.0625,1711994961920.0,-144.0,0.08828939497470856,-208.0,-0.12752912938594818,-17568.0,10.771306037902832,2706.0,3941.046142578125,2294.0,1680.5860595703125,52546.0,830.6287841796875,1.2039072513580322
1104999.1719733,12553942.0,812216.8125,1711994961920.0,-560.0,0.3433476388454437,192.0,0.11771918833255768,-15552.0,9.53525447845459,2767.0,4029.88720703125,2519.0,1845.4212646484375,35444.0,342.3626708984375,2.9208791255950928,0.9945344030857086,0.42990895729832035,0.23672054579512958,-58.0049945253259,106.8087970196388,544.6003135614247,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.12838800678591145,0.1717325903894618,0.9767417453511782,-0.025957662485225776,0.1530118084785956,0.9878833869563819,28.935764030771278,37.653986140490204,3.7179007159006137,2.6990500076708854,0.0,0.25081640017441215,1.9059137174142606,-55.398044250964574,-185.43125042151965,38.83117407263303,343.6548344616185,-206.82178125805842,-153.04843211900263,nan,nan,nan,-0.5765135804213078,0.7845060633591561,0.22843451609273918,nan,nan,nan,0.0,nan,0.004482423009290137,nan,13384202.0,805546.875,1711994961920.0,-112.0,0.06866952776908875,-144.0,-0.08828939497470856,-17472.0,10.712446212768555,2712.0,3949.78466796875,2318.0,1698.16845703125,52569.0,823.642333984375,1.2141191959381104
1104999.2397401,12554262.0,812226.5625,1711994961920.0,-592.0,0.36296749114990234,176.0,0.10790925472974777,-15488.0,9.496014595031738,2765.0,4026.974365234375,2523.0,1848.3516845703125,35444.0,342.3626708984375,2.9208791255950928,0.9759827256202698,0.42900188241740145,0.23558758794970025,-57.712221491454514,105.36052879086144,534.1709477732867,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.1301784131552747,0.1726364772121594,0.9763453423272681,-0.025957662485225776,0.1530118084785956,0.9878833869563819,28.949104128924635,37.653986140490204,3.718863010556052,2.6990500076708854,1.0,0.5966309938751333,0.31674749611356756,66.13339000617935,47.909408868935245,394.3459571590861,nan,nan,nan,385.7144841850535,48.6747568399948,9.810733173146552,nan,nan,nan,-0.6391621883577484,-0.001530695942119147,0.7690704479718791,nan,46.7548554331755,nan,2.088018246306474,13384458.0,805554.6875,1711994961920.0,-176.0,0.10790925472974777,-160.0,-0.09809932857751846,-17664.0,10.83016586303711,2723.0,3965.80517578125,2312.0,1693.77294921875,52544.0,831.241943359375,1.2030192613601685
1104999.3067287,12554582.0,812236.3125,1711994961920.0,-576.0,0.35315757989883423,160.0,0.09809932857751846,-15600.0,9.56468391418457,2764.0,4025.51806640625,2516.0,1843.223388671875,35445.0,342.1910400390625,2.922344207763672,0.9758960902690887,0.42930025152988743,0.2334984891178441,-56.82493274604758,105.2394882038683,528.2020914457573,17.576138134421203,8.374083260980825,-28.65728060681252,-43.56086558406261,17.87635560212444,-14.916555035974358,-0.1301784131552747,0.1726364772121594,0.9763453423272681,-0.024432024199299456,0.15603958663878126,0.9874485928873075,28.949104128924635,37.469742169879794,3.718863010556052,2.6853128800387496,0.0791413652475567,0.8300178968403618,0.48719745713046925,174.37001581125176,-11.459935752387992,274.9426886944214,343.6548344616185,-206.82178125805842,-153.04843211900263,nan,nan,nan,-0.3385696373007336,0.39072369101134086,0.855982241626848,nan,nan,nan,18.095584984442297,nan,1.0433738557420824,nan,13384714.0,805562.5,1711994961920.0,-192.0,0.11771918833255768,-192.0,-0.11771918833255768,-17584.0,10.781115531921387,2718.0,3958.523193359375,2353.0,1723.8095703125,52571.0,823.0404052734375,1.2150071859359741
