timestamp,Timestamp RAW (no units)_007,Timestamp CAL (mSecs)_007,System Timestamp CAL (mSecs)_007,Wide Range Accelerometer X RAW (no units)_007,Wide Range Accelerometer X CAL (m/(sec ^2))_007,Wide Range Accelerometer Y RAW (no units)_007,Wide Range Accelerometer Y CAL (m/(sec ^2))_007,Wide Range Accelerometer Z RAW (no units)_007,Wide Range Accelerometer Z CAL (m/(sec ^2))_007,VSenseBatt RAW (no units)_007,VSenseBatt CAL (m Volts)_007,Internal ADC A13 RAW (no units)_007,Internal ADC A13 CAL (m Volts)_007,GSR RAW (no units)_007,GSR CAL (kOhms)_007,GSR Conductance CAL (u Siemens)_007,confidence_007,norm_pos_x_007,norm_pos_y_007,gaze_point_3d_x_007,gaze_point_3d_y_007,gaze_point_3d_z_007,eye_center0_3d_x_007,eye_center0_3d_y_007,eye_center0_3d_z_007,eye_center1_3d_x_007,eye_center1_3d_y_007,eye_center1_3d_z_007,gaze_normal0_x_007,gaze_normal0_y_007,gaze_normal0_z_007,gaze_normal1_x_007,gaze_normal1_y_007,gaze_normal1_z_007,diameter0_2d_007,diameter1_2d_007,diameter0_3d_007,diameter1_3d_007
8536.1917653,16668562.0,1256125.0,1712336666624.0,-480.0,0.2942979633808136,176.0,0.10790925472974777,-15648.0,9.594114303588867,2722.0,3964.3486328125,2335.0,1710.6226806640625,34693.0,549.2957763671875,1.8205127716064453,1.0,0.39341223906560546,0.4047163679794765,-72.40135499172538,17.486353069114095,438.49775050500864,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.19789723716487947,0.0006783895336947372,0.980222537646502,-0.07042381325024566,0.00958895773560972,0.9974710714686613,50.3391753757885,53.17852294622553,3.362925665562974,3.6053264253283763
8536.2587826,16668818.0,1256132.75,1712336666624.0,-576.0,0.35315757989883423,192.0,0.11771918833255768,-15728.0,9.643163681030273,2717.0,3957.066650390625,2319.0,1698.901123046875,34693.0,549.2957763671875,1.8205127716064453,1.0,0.39306643109639233,0.40565348985760674,-73.80481203365571,17.38078285227068,445.4499324959156,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.19789723716487947,0.0006783895336947372,0.980222537646502,-0.07237033265203655,0.008985982731883209,0.9973373486770541,50.3391753757885,53.60376003841431,3.362925665562974,3.6334594824621025
8536.3262849,16669074.0,1256140.625,1712336666624.0,-576.0,0.35315757989883423,176.0,0.10790925472974777,-15664.0,9.603923797607422,2720.0,3961.435791015625,2329.0,1706.22705078125,34693.0,549.2957763671875,1.8205127716064453,1.0,0.4269244147259423,0.41610055389681955,-55.64136112469109,14.825322886826797,507.67100733927555,nan,nan,nan,-2.0026236438374636,68.90152370055283,13.506408903679834,nan,nan,nan,-0.10727747496170721,-0.108152401627452,0.9883291968711915,nan,53.60376003841431,nan,3.6334594824621025
8536.393185,16669330.0,1256148.5,1712336666624.0,-528.0,0.3237277865409851,208.0,0.12752912938594818,-15648.0,9.594114303588867,2724.0,3967.261474609375,2330.0,1706.959716796875,34693.0,549.2957763671875,1.8205127716064453,1.0,0.39321971207783984,0.4032502848989732,-71.79706852534895,17.89239664703259,433.96910596532047,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.1985399933012484,0.0002581348966677333,0.9800927529710213,-0.069799302289347,0.01188114362526584,0.9974902986125109,50.24415469898174,52.59325502661413,3.3560924637110237,3.5654181242699874
8536.460758,16669586.0,1256156.25,1712336666624.0,-560.0,0.3433476388454437,240.0,0.1471489816904068,-15632.0,9.584303855895996,2725.0,3968.718017578125,2347.0,1719.4139404296875,34693.0,549.2957763671875,1.8205127716064453,0.991322249174118,0.3932131824563113,0.4020986459116378,-71.83556901646062,18.360542243790626,434.15555283071126,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.1985399933012484,0.0002581348966677333,0.9800927529710213,-0.06985295988479026,0.01391584613384293,0.9974602313985822,50.24415469898174,52.83684071234451,3.3560924637110237,3.582466343154093
8536.5277163,16669842.0,1256164.0,1712336666624.0,-592.0,0.36296749114990234,208.0,0.12752912938594818,-15632.0,9.584303855895996,2717.0,3957.066650390625,2329.0,1706.22705078125,34694.0,548.8540649414062,1.821977972984314,0.9728212654590607,0.3929086316847633,0.40152088370762484,-71.67262798130085,18.49340570321569,431.8309480503243,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.19918195529618404,0.0009120332255570322,0.9799620997159965,-0.06985295988479026,0.01391584613384293,0.9974602313985822,49.937409596219545,52.83684071234451,3.335732380214565,3.582466343154093
8536.5947909,16670098.0,1256171.875,1712336666624.0,-512.0,0.3139178454875946,192.0,0.11771918833255768,-15616.0,9.574494361877441,2723.0,3965.80517578125,2341.0,1715.018310546875,34693.0,549.2957763671875,1.8205127716064453,0.991322249174118,0.393172000858636,0.4022513241490602,-71.81402121083708,18.286674293796725,433.84689649229534,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.19862524546201188,-5.442836579550335e-05,0.9800755118370771,-0.06985295988479026,0.01391584613384293,0.9974602313985822,49.814726541324696,52.83684071234451,3.3273089331841583,3.582466343154093
8536.6626729,16670354.0,1256179.75,1712336666624.0,-528.0,0.3237277865409851,160.0,0.09809932857751846,-15728.0,9.643163681030273,2720.0,3961.435791015625,2332.0,1708.4249267578125,34694.0,548.8540649414062,1.821977972984314,1.0,0.39301007607402844,0.40273510152086023,-72.45447652584457,18.225943506206903,437.00776004395055,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.19862524546201188,-5.442836579550335e-05,0.9800755118370771,-0.07076367629278085,0.013556537939488108,0.9974009837555936,49.814726541324696,52.845918409723446,3.3273089331841583,3.583202191076183
8536.7306835,16670610.0,1256187.5,1712336666624.0,-560.0,0.3433476388454437,144.0,0.08828939497470856,-15632.0,9.584303855895996,2723.0,3965.80517578125,2340.0,1714.2857666015625,34693.0,549.2957763671875,1.8205127716064453,1.0,0.393101137699294,0.4021317029373167,-72.50280765074773,18.497306696287822,437.69244895974384,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.19843840890513734,0.0010988727836347616,0.9801127436931952,-0.07076367629278085,0.013556537939488108,0.9974009837555936,49.64726333983573,52.845918409723446,3.3164356653906895,3.583202191076183
8536.798742,16670866.0,1256195.25,1712336666624.0,-528.0,0.3237277865409851,160.0,0.09809932857751846,-15664.0,9.603923797607422,2715.0,3954.15380859375,2330.0,1706.959716796875,34694.0,548.8540649414062,1.821977972984314,1.0,0.39310494973853,0.40216180840167626,-72.48713440070931,18.481889795722303,437.61516145284554,20.054950327303466,15.07854215152446,-19.455640398829075,-40.034961939465084,15.136280080633828,-19.915689189982775,-0.19843840890513734,0.0010988727836347616,0.9801127436931952,-0.07074163811903675,0.013492365387462542,0.9974034172352161,49.64726333983573,52.810698631708235,3.3164356653906895,3.580499612938846
