timestamp,Timestamp RAW (no units)_003,Timestamp CAL (mSecs)_003,System Timestamp CAL (mSecs)_003,Wide Range Accelerometer X RAW (no units)_003,Wide Range Accelerometer X CAL (m/(sec ^2))_003,Wide Range Accelerometer Y RAW (no units)_003,Wide Range Accelerometer Y CAL (m/(sec ^2))_003,Wide Range Accelerometer Z RAW (no units)_003,Wide Range Accelerometer Z CAL (m/(sec ^2))_003,VSenseBatt RAW (no units)_003,VSenseBatt CAL (m Volts)_003,Internal ADC A13 RAW (no units)_003,Internal ADC A13 CAL (m Volts)_003,GSR RAW (no units)_003,GSR CAL (kOhms)_003,GSR Conductance CAL (u Siemens)_003,confidence_002,norm_pos_x_002,norm_pos_y_002,gaze_point_3d_x_002,gaze_point_3d_y_002,gaze_point_3d_z_002,eye_center0_3d_x_002,eye_center0_3d_y_002,eye_center0_3d_z_002,eye_center1_3d_x_002,eye_center1_3d_y_002,eye_center1_3d_z_002,gaze_normal0_x_002,gaze_normal0_y_002,gaze_normal0_z_002,gaze_normal1_x_002,gaze_normal1_y_002,gaze_normal1_z_002,diameter0_2d_002,diameter1_2d_002,diameter0_3d_002,diameter1_3d_002,Timestamp RAW (no units)_002,Timestamp CAL (mSecs)_002,System Timestamp CAL (mSecs)_002,Wide Range Accelerometer X RAW (no units)_002,Wide Range Accelerometer X CAL (m/(sec ^2))_002,Wide Range Accelerometer Y RAW (no units)_002,Wide Range Accelerometer Y CAL (m/(sec ^2))_002,Wide Range Accelerometer Z RAW (no units)_002,Wide Range Accelerometer Z CAL (m/(sec ^2))_002,VSenseBatt RAW (no units)_002,VSenseBatt CAL (m Volts)_002,Internal ADC A13 RAW (no units)_002,Internal ADC A13 CAL (m Volts)_002,GSR RAW (no units)_002,GSR CAL (kOhms)_002,GSR Conductance CAL (u Siemens)_002,confidence_003,norm_pos_x_003,norm_pos_y_003,gaze_point_3d_x_003,gaze_point_3d_y_003,gaze_point_3d_z_003,eye_center0_3d_x_003,eye_center0_3d_y_003,eye_center0_3d_z_003,eye_center1_3d_x_003,eye_center1_3d_y_003,eye_center1_3d_z_003,gaze_normal0_x_003,gaze_normal0_y_003,gaze_normal0_z_003,gaze_normal1_x_003,gaze_normal1_y_003,gaze_normal1_z_003,diameter0_2d_003,diameter1_2d_003,diameter0_3d_003,diameter1_3d_003
101824.0561466,12260476.0,1326968.75,1712429858816.0,-304.0,0.18638871610164642,-112.0,-0.06866952776908875,-17600.0,10.790925979614258,2704.0,3938.13330078125,2293.0,1679.853515625,35964.0,271.5337219238281,3.682783842086792,0.981159508228302,0.52155108599669,0.43384785541510995,29.726164371774182,8.830174134295874,682.3032636054355,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.013761180617580785,-0.005338541290646896,0.9998910590083795,0.09862711695241234,-0.012139188352616053,0.9950504167668064,61.32493150296508,60.924492636201215,4.923687697711009,4.264523313010468,13752577.0,1377507.75,1712429858816.0,-800.0,0.4904966354370117,192.0,0.11771918833255768,-15744.0,9.652973175048828,2707.0,3942.502685546875,2273.0,1665.201416015625,35654.0,309.7345275878906,3.2285714149475098,1.0,0.4006359671279875,0.2223924593731076,-16.914670866839188,22.88978097223615,108.39032027139166,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.2561763042211156,0.11694228163932184,0.9595301995875898,0.17273144367760593,-0.0007867465230113613,0.9849686438638332,31.874613969917323,35.411198584414514,1.7991455440918784,3.3352040315027773
101824.1235847,12260732.0,1326976.5,1712429858816.0,-256.0,0.1569589227437973,-64.0,-0.039239730685949326,-17536.0,10.751686096191406,2710.0,3946.871826171875,2297.0,1682.783935546875,35965.0,271.42572021484375,3.68424916267395,0.9734029173851013,0.5215037295642633,0.4338448542291976,29.75109297547812,8.854965304804708,684.0768002626608,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.013761180617580785,-0.005338541290646896,0.9998910590083795,0.09841681425820385,-0.012025247491865355,0.9950726225226104,61.32493150296508,60.80793917053098,4.923687697711009,4.256426815750668,13752833.0,1377515.625,1712429858816.0,-800.0,0.4904966354370117,176.0,0.10790925472974777,-15632.0,9.584303855895996,2707.0,3942.502685546875,2275.0,1666.6666259765625,35654.0,309.7345275878906,3.2285714149475098,1.0,0.40098860547021087,0.2230552810771551,-16.879434906111193,22.860876475967366,108.59455403608115,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.2555676487160717,0.1163412020082555,0.9597655451437151,0.17273144367760593,-0.0007867465230113613,0.9849686438638332,31.854060132070106,35.411198584414514,1.798177781164477,3.3352040315027773
101824.191398,12260988.0,1326984.375,1712429858816.0,-288.0,0.17657878994941711,-80.0,-0.04904966428875923,-17552.0,10.761495590209961,2720.0,3961.435791015625,2315.0,1695.970703125,35964.0,271.5337219238281,3.682783842086792,0.9699093997478485,0.5213064884393064,0.4336508236629958,29.364086920877604,8.92403533041211,680.1606080788422,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.01328703809065852,-0.00523903338454745,0.9998979983718206,0.09841681425820385,-0.012025247491865355,0.9950726225226104,61.15970409110139,60.80793917053098,4.910137614067966,4.256426815750668,13753089.0,1377523.5,1712429858816.0,-784.0,0.4806866943836212,224.0,0.1373390555381775,-15664.0,9.603923797607422,2690.0,3917.74365234375,2238.0,1639.5604248046875,35654.0,309.7345275878906,3.2285714149475098,1.0,0.401048315731442,0.22334819135828576,-16.85072185851199,22.806844058929784,108.48639728655817,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.2555676487160717,0.1163412020082555,0.9597655451437151,0.1730838990103324,-0.0015033577706916046,0.9849059365334307,31.854060132070106,35.57450307654562,1.798177781164477,3.3508859837966405
101824.2592423,12261244.0,1326992.25,1712429858816.0,-304.0,0.18638871610164642,-64.0,-0.039239730685949326,-17616.0,10.800735473632812,2719.0,3959.9794921875,2328.0,1705.4945068359375,35964.0,271.5337219238281,3.682783842086792,0.9670763611793518,0.521262821747974,0.43354744272787293,29.38753169402803,9.009768558031105,681.8170737646017,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.01328703809065852,-0.00523903338454745,0.9998979983718206,0.09822193359187979,-0.011741309839749683,0.9950952685068497,61.15970409110139,60.90779802931718,4.910137614067966,4.263466303437643,13753345.0,1377531.25,1712429858816.0,-800.0,0.4904966354370117,240.0,0.1471489816904068,-15696.0,9.623543739318848,2699.0,3930.851318359375,2240.0,1641.025634765625,35654.0,309.7345275878906,3.2285714149475098,1.0,0.4017493116376438,0.22402260031240961,-16.78086789152875,22.815224084884015,108.88433215441123,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.2543649288605615,0.11613553627031661,0.9601099000536175,0.1730838990103324,-0.0015033577706916046,0.9849059365334307,31.867907333962936,35.57450307654562,1.7992524545687911,3.3508859837966405
101824.3270418,12261500.0,1327000.0,1712429858816.0,-240.0,0.1471489816904068,-96.0,-0.05885959416627884,-17584.0,10.781115531921387,2707.0,3942.502685546875,2312.0,1693.77294921875,35965.0,271.42572021484375,3.68424916267395,0.9787590503692627,0.5215808145373775,0.4339401400003844,30.01593277225355,8.848768811082609,688.196245420872,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.014050993363208883,-0.005539182700161626,0.9998859370150784,0.09822193359187979,-0.011741309839749683,0.9950952685068497,61.513487761364864,60.90779802931718,4.9393139701235045,4.263466303437643,13753601.0,1377539.0,1712429858816.0,-768.0,0.4708767533302307,192.0,0.11771918833255768,-15680.0,9.613734245300293,2708.0,3943.958984375,2259.0,1654.945068359375,35654.0,309.7345275878906,3.2285714149475098,1.0,0.401971209585391,0.22375482954457293,-16.684519706005673,22.76577714447193,108.51910674148144,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.2543649288605615,0.11613553627031661,0.9601099000536175,0.17426793444744224,-0.0019338623557222934,0.9846963731017857,31.867907333962936,35.666407598775805,1.7992524545687911,3.3589720652951343
101824.3943752,12261756.0,1327007.75,1712429858816.0,-272.0,0.1667688488960266,-64.0,-0.039239730685949326,-17568.0,10.771306037902832,2709.0,3945.415283203125,2297.0,1682.783935546875,35964.0,271.5337219238281,3.682783842086792,0.9488061666488647,0.5219602925193916,0.433450762628659,29.820311042558277,8.969101361893863,674.2292531948272,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.014050993363208883,-0.005539182700161626,0.9998859370150784,0.09990159839346095,-0.011741640437444823,0.9949280398693512,61.513487761364864,61.09410535635781,4.9393139701235045,4.276383228991657,13753857.0,1377546.875,1712429858816.0,-752.0,0.4610668420791626,192.0,0.11771918833255768,-15664.0,9.603923797607422,2712.0,3949.78466796875,2273.0,1665.201416015625,35653.0,309.8751525878906,3.2271063327789307,1.0,0.40238319302474146,0.22469572252693537,-16.642759664468734,22.714660443215834,108.76049163231235,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.25365079335459517,0.11517742514144894,0.9604142001076257,0.17426793444744224,-0.0019338623557222934,0.9846963731017857,31.857039561827193,35.666407598775805,1.7987816794936502,3.3589720652951343
101824.4613611,12262012.0,1327015.625,1712429858816.0,-272.0,0.1667688488960266,-32.0,-0.019619865342974663,-17520.0,10.741876602172852,2718.0,3958.523193359375,2321.0,1700.3663330078125,35964.0,271.5337219238281,3.682783842086792,0.9222190082073212,0.5219151546507736,0.43364580772243566,29.73404112442635,8.838614890299237,673.3905576386942,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.01394075849683157,-0.005935036268356055,0.999885208709993,0.09990159839346095,-0.011741640437444823,0.9949280398693512,61.37989132987582,61.09410535635781,4.9283803270535484,4.276383228991657,13754113.0,1377554.75,1712429858816.0,-768.0,0.4708767533302307,208.0,0.12752912938594818,-15632.0,9.584303855895996,2722.0,3964.3486328125,2309.0,1691.5750732421875,35653.0,309.8751525878906,3.2271063327789307,1.0,0.40245133839684194,0.2244224038976862,-16.614664037403205,22.720856027650623,108.65360812165568,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.25365079335459517,0.11517742514144894,0.9604142001076257,0.1746139288835261,-0.0017517017857697492,0.9846354185081463,31.857039561827193,35.56526731117512,1.7987816794936502,3.3492874170817837
101824.5291951,12262268.0,1327023.5,1712429858816.0,-256.0,0.1569589227437973,-96.0,-0.05885959416627884,-17488.0,10.722256660461426,2719.0,3959.9794921875,2325.0,1703.2967529296875,35964.0,271.5337219238281,3.682783842086792,0.9522253572940826,0.5216960043527653,0.4344696824276846,29.837463573155325,8.431238972663454,681.2012624772578,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.01394075849683157,-0.005935036268356055,0.999885208709993,0.09893669694727122,-0.012703447284204434,0.9950126393288989,61.37989132987582,60.98146078784,4.9283803270535484,4.268621352101812,13754369.0,1377562.5,1712429858816.0,-736.0,0.4512569010257721,208.0,0.12752912938594818,-15664.0,9.603923797607422,2704.0,3938.13330078125,2280.0,1670.3297119140625,35654.0,309.7345275878906,3.2285714149475098,1.0,0.4020826343077812,0.22513516580545856,-16.6507480405436,22.60713334407486,108.45988778727559,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.2542701941529967,0.11364431326364281,0.9604330473428287,0.1746139288835261,-0.0017517017857697492,0.9846354185081463,31.87071242620083,35.56526731117512,1.799655364225052,3.3492874170817837
101824.597193,12262524.0,1327031.25,1712429858816.0,-288.0,0.17657878994941711,-64.0,-0.039239730685949326,-17600.0,10.790925979614258,2701.0,3933.76416015625,2299.0,1684.2490234375,35965.0,271.42572021484375,3.68424916267395,0.9542899429798126,0.5218219489666427,0.43471780698378204,30.087056082525102,8.30844538063917,683.7247675328624,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.014242736925615508,-0.006215926238323605,0.9998792460621769,0.09893669694727122,-0.012703447284204434,0.9950126393288989,61.73113720408036,60.98146078784,4.957342889741555,4.268621352101812,13754625.0,1377570.25,1712429858816.0,-768.0,0.4708767533302307,144.0,0.08828939497470856,-15712.0,9.633354187011719,2714.0,3952.697509765625,2293.0,1679.853515625,35654.0,309.7345275878906,3.2285714149475098,1.0,0.40214102832280085,0.22468377341003842,-16.628242052160097,22.636575604599514,108.37440673428623,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.2542701941529967,0.11364431326364281,0.9604330473428287,0.17489138031721144,-0.0012394855291607831,0.9845869533801286,31.87071242620083,35.43024755210263,1.799655364225052,3.3370482882371424
101824.6644067,12262780.0,1327039.0,1712429858816.0,-272.0,0.1667688488960266,-48.0,-0.02942979708313942,-17648.0,10.820355415344238,2708.0,3943.958984375,2281.0,1671.062255859375,35963.0,271.64178466796875,3.681318759918213,0.9331489503383636,0.5220124716115794,0.4342875767618105,29.99034876832227,8.488752021765253,676.7895450676319,20.0699058747679,14.5383549656078,-21.470029679573734,-39.919379293656924,15.442530193866085,-20.065998088865065,0.014242736925615508,-0.006215926238323605,0.9998792460621769,0.09977805177758169,-0.012375115163504811,0.994932759993438,61.73113720408036,61.06358148720144,4.957342889741555,4.274266403148718,13754881.0,1377578.125,1712429858816.0,-736.0,0.4512569010257721,144.0,0.08828939497470856,-15712.0,9.633354187011719,2700.0,3932.3076171875,2264.0,1658.6080322265625,35655.0,309.5940246582031,3.230036735534668,1.0,0.40248150047973413,0.22365154044729674,-16.59523254073327,22.77994888017201,108.54770247180124,17.773193464551106,15.19139900846561,-22.12696181564301,-39.602714414917344,15.085521323089898,-20.662598404454595,-0.2537030323216934,0.11563534788471481,0.9603453741807468,0.17489138031721144,-0.0012394855291607831,0.9845869533801286,31.895156245476173,35.43024755210263,1.800933445795955,3.3370482882371424
