timestamp,Timestamp RAW (no units)_002,Timestamp CAL (mSecs)_002,System Timestamp CAL (mSecs)_002,Wide Range Accelerometer X RAW (no units)_002,Wide Range Accelerometer X CAL (m/(sec ^2))_002,Wide Range Accelerometer Y RAW (no units)_002,Wide Range Accelerometer Y CAL (m/(sec ^2))_002,Wide Range Accelerometer Z RAW (no units)_002,Wide Range Accelerometer Z CAL (m/(sec ^2))_002,VSenseBatt RAW (no units)_002,VSenseBatt CAL (m Volts)_002,Internal ADC A13 RAW (no units)_002,Internal ADC A13 CAL (m Volts)_002,GSR RAW (no units)_002,GSR CAL (kOhms)_002,GSR Conductance CAL (u Siemens)_002,confidence_002,norm_pos_x_002,norm_pos_y_002,gaze_point_3d_x_002,gaze_point_3d_y_002,gaze_point_3d_z_002,eye_center0_3d_x_002,eye_center0_3d_y_002,eye_center0_3d_z_002,eye_center1_3d_x_002,eye_center1_3d_y_002,eye_center1_3d_z_002,gaze_normal0_x_002,gaze_normal0_y_002,gaze_normal0_z_002,gaze_normal1_x_002,gaze_normal1_y_002,gaze_normal1_z_002,diameter0_2d_002,diameter1_2d_002,diameter0_3d_002,diameter1_3d_002
327379.8470214,6027022.0,809265.625,1711217311744.0,-544.0,0.3335376977920532,224.0,0.1373390555381775,-15696.0,9.623543739318848,2671.0,3890.07177734375,2578.0,1888.6446533203125,35576.0,321.1009216308594,3.114285707473755,0.949076235294342,0.2918642759840182,0.3274861103389428,-89.50423036936317,29.98521260344436,258.565980502942,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.3599716731096557,0.07038555200093485,0.9303043956835627,-0.17334670411887027,0.038766222929844225,0.9840976070141002,66.14961778841626,58.973297469388804,4.9614729032006535,3.5140729814628306
327379.9473085,6027278.0,809273.4375,1711217311744.0,-560.0,0.3433476388454437,272.0,0.1667688488960266,-15728.0,9.643163681030273,2655.0,3866.769287109375,2554.0,1871.062255859375,35576.0,321.1009216308594,3.114285707473755,0.9641022682189941,0.28969993709680136,0.32467805677525996,-88.38568034975997,29.979671564396874,252.25898177582658,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.3637603118840013,0.0727572766295467,0.928646765027212,-0.17334670411887027,0.038766222929844225,0.9840976070141002,66.07644022114033,58.973297469388804,4.956101625179624,3.5140729814628306
327380.0475187,6027534.0,809281.25,1711217311744.0,-576.0,0.35315757989883423,272.0,0.1667688488960266,-15712.0,9.633354187011719,2672.0,3891.5283203125,2562.0,1876.923095703125,35576.0,321.1009216308594,3.114285707473755,0.9641022682189941,0.29005222746802206,0.3226984439688776,-87.06940855756119,30.058666671355773,248.92647988561964,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.3637603118840013,0.0727572766295467,0.928646765027212,-0.17068853979369983,0.04072046608667739,0.9844832482194799,66.07644022114033,58.75521288087295,4.956101625179624,3.5023610014068636
327380.1484432,6027790.0,809289.0625,1711217311744.0,-560.0,0.3433476388454437,240.0,0.1471489816904068,-15712.0,9.633354187011719,2645.0,3852.205078125,2526.0,1850.5494384765625,35577.0,320.9499206542969,3.115751028060913,0.962926059961319,0.2878016876062053,0.31960215760437305,-85.99774820072818,30.090539362517177,242.79626649903986,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.36767409445130644,0.07550496149741205,0.9268844378123338,-0.17068853979369983,0.04072046608667739,0.9844832482194799,66.03281730791164,58.75521288087295,4.95246407865681,3.5023610014068636
327380.2494488,6028046.0,809296.875,1711217311744.0,-608.0,0.37277743220329285,272.0,0.1667688488960266,-15728.0,9.643163681030273,2662.0,3876.964111328125,2531.0,1854.21240234375,35576.0,321.1009216308594,3.114285707473755,0.962926059961319,0.2879374706862333,0.3176083502612891,-85.70471241738944,30.473381178315677,242.09246538339505,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.36767409445130644,0.07550496149741205,0.9268844378123338,-0.1699817020243569,0.04380804170531013,0.9844729942760484,66.03281730791164,58.939037574319656,4.95246407865681,3.512967334261386
327380.3503882,6028302.0,809304.6875,1711217311744.0,-544.0,0.3335376977920532,240.0,0.1471489816904068,-15744.0,9.652973175048828,2655.0,3866.769287109375,2533.0,1855.6776123046875,35576.0,321.1009216308594,3.114285707473755,0.9686472415924072,0.2876357911284413,0.3172264185523507,-85.56668297157636,30.468854455855393,241.29846822990575,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.3681980380414673,0.07581680208698924,0.9266509684361834,-0.1699817020243569,0.04380804170531013,0.9844729942760484,66.01619785787751,58.939037574319656,4.95067146332084,3.512967334261386
327380.4515122,6028558.0,809312.5,1711217311744.0,-496.0,0.3041079044342041,256.0,0.1569589227437973,-15744.0,9.652973175048828,2673.0,3892.984619140625,2557.0,1873.2601318359375,35577.0,320.9499206542969,3.115751028060913,0.9686472415924072,0.2877421711182822,0.3169033846266103,-85.14677830921214,30.409819139308834,240.24353524085237,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.3681980380414673,0.07581680208698924,0.9266509684361834,-0.16910059233122113,0.043867395713828874,0.984622080428078,66.01619785787751,58.89722699215271,4.95067146332084,3.5104937926713946
327380.5528011,6028814.0,809320.3125,1711217311744.0,-528.0,0.3237277865409851,304.0,0.18638871610164642,-15712.0,9.633354187011719,2670.0,3888.615478515625,2570.0,1882.783935546875,35576.0,321.1009216308594,3.114285707473755,0.9529746472835541,0.2857766157001446,0.3132790957992905,-84.2537413261446,30.63097818126591,235.12328339199306,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.37158108098597614,0.07973720145594446,0.9249699881386788,-0.16910059233122113,0.043867395713828874,0.984622080428078,66.10594799355867,58.89722699215271,4.957879698731862,3.5104937926713946
327380.6533087,6029070.0,809328.125,1711217311744.0,-496.0,0.3041079044342041,272.0,0.1667688488960266,-15728.0,9.643163681030273,2670.0,3888.615478515625,2569.0,1882.05126953125,35577.0,320.9499206542969,3.115751028060913,0.9701813459396362,0.28490606850649686,0.31282316881887384,-83.89426002810457,30.476309081500876,233.01855189626323,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.3730959690022835,0.07955634212743184,0.9243755656342015,-0.16910059233122113,0.043867395713828874,0.984622080428078,65.98428119946146,58.89722699215271,4.948474007693072,3.5104937926713946
327380.7535588,6029326.0,809335.9375,1711217311744.0,-480.0,0.2942979633808136,304.0,0.18638871610164642,-15648.0,9.594114303588867,2656.0,3868.2255859375,2544.0,1863.7362060546875,35577.0,320.9499206542969,3.115751028060913,0.9701813459396362,0.2849312746691418,0.31190060066412006,-83.92807216398039,30.7002341267801,233.1184781355637,19.940815918045622,12.513302451713287,-24.010191102776542,-40.784466703402174,15.436597062525049,-18.766209842448035,-0.3730959690022835,0.07955634212743184,0.9243755656342015,-0.16912236612475823,0.045494289295951916,0.9845445113948985,65.98428119946146,58.74806665469012,4.948474007693072,3.5017262592747667
